Address,Date,Price,Space Ft2,Bedroom,Bathroom,Furnished,Laundry,Housing Type,Parking,Zipcode,Exterior,KitchenApp,KitchenWall,KitchenFloor,KitchenFurn,LivingWall,LivingFloor,LivingFurn,BedWall,BedFloor,BedFurn,BathWall,BathFloor,BathFurn,Student Housing
Johnson City,112917,650,850,20,10,0,0,1,0,13790,2,2,3,3,2,3,3,2,3,3,2,3,3,2,1
Owego,121217,650,600,10,10,0,3,1,4,13827,3,2,2,3,2,3,3,2,3,3,2,3,3,2,2
"Cortland, NY",0,875,700,10,10,0,1,1,4,13045,2,2,2,3,2,3,3,2,3,2,1,3,3,2,0
Campville,121217,1100,2120,30,15,0,2,1,2,13760,2,2,2,3,2,3,3,1,2,2,1,3,3,2,2
4 CLARKE STREET,120817,900,800,20,10,1,1,1,4,13905,2,2,2,3,2,3,3,2,3,3,3,3,2,2,1
Airport Rd Area,111917,2400,2000,30,25,0,4,0,0,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,1
Owego,112817,997,1344,30,20,0,4,10,4,13827,2,2,2,3,2,3,2,1,3,3,1,3,3,2,2
Murray Street,121017,3400,3000,80,30,0,3,0,4,13905,2,2,2,3,2,3,2,3,2,2,2,3,3,2,1
9 kattelville rd,121217,725,800,20,10,0,1,9,4,13901,2,2,2,3,2,3,3,2,3,2,1,3,3,2,2
Owego,112817,997,1344,30,20,0,4,10,4,13827,1,2,2,3,3,3,2,2,2,3,1,2,3,2,2
2002 Union Center Main Hgwy,113017,420,144,10,10,1,0,1,4,13760,1,1,2,1,2,3,3,2,2,1,2,2,1,1,2
121 East Main St,120117,650,154,10,10,1,0,1,4,13760,1,2,2,2,2,3,3,2,3,2,2,2,2,1,2
,112717,695,750,20,10,0,0,1,0,13901,2,2,2,3,2,3,2,1,3,2,2,3,3,2,0
Binghamton,121117,1000,1100,30,10,0,4,0,4,13903,2,2,2,3,3,3,3,3,3,2,2,3,3,2,2
Sherrill,120617,1196,1697,30,20,0,4,0,0,13068,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
"Sidney, NY",121117,1000,1300,30,10,0,4,0,2,13838,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
"1 Jay St. Binghamton, NY",120217,850,1100,10,10,0,1,1,7,13901,2,2,3,3,3,3,3,1,3,3,1,3,3,3,1
NORWICH,121117,700,460,10,10,1,0,1,4,13815,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
,121117,2750,1900,50,20,1,3,0,4,13905,2,2,2,3,3,3,2,3,3,2,2,3,3,2,1
ENDICOTT,121117,795,1080,30,10,0,4,1,4,13760,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
"231 Ackley Ave, Johnson City NY",121117,950,1100,30,15,0,3,1,4,13790,2,3,2,3,2,3,3,1,3,3,1,3,3,2,2
101 Park,121117,900,1810,30,20,1,2,0,2,13905,2,2,3,3,2,3,3,2,3,3,1,3,3,2,1
55 CLEVELAND,121117,1200,2442,40,15,1,2,0,4,13905,3,2,2,3,3,3,3,3,3,3,3,3,3,3,1
Conklin Ave,120517,1400,1400,40,15,1,4,0,4,13903,3,2,2,3,3,3,2,3,3,2,3,3,3,3,1
OAK MURRAY CHAPIN,111317,1700,2000,40,10,1,3,1,4,13905,3,3,3,3,3,3,3,2,3,3,2,3,3,2,1
Endicott,111617,675,800,30,10,0,0,1,4,13760,3,2,2,3,2,3,3,2,3,3,1,3,3,2,2
Owego,120617,550,800,20,10,0,2,1,4,13827,2,2,2,3,2,3,3,1,3,3,1,3,3,2,2
16 GOETHE,121117,1300,1800,40,20,1,2,0,4,13905,2,2,2,3,2,3,3,2,3,2,2,3,3,2,1
6 Catherine Street,121117,1500,1800,50,25,1,2,0,4,13905,3,2,2,3,3,3,3,2,3,2,2,3,3,2,1
16 Elisabeth ln,112617,1250,1725,30,30,0,4,0,1,13903,3,2,2,3,2,3,3,1,3,2,1,3,3,2,2
Binghamton,121117,1000,1100,30,10,0,4,0,4,13903,2,2,2,3,2,3,3,2,3,2,2,3,3,2,2
Endicott,121117,525,550,10,10,0,4,1,4,13760,2,2,2,3,2,3,3,2,3,3,2,3,3,2,1
Victor,120417,889,1606,30,20,0,4,1,0,14469,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
Marcy,120417,1122,1810,30,20,0,4,1,0,13045,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
Apalachin,120617,725,880,30,15,0,4,10,4,13850,2,2,2,3,2,3,2,1,3,3,2,3,3,2,1
46 North Street Between Walnut and Mather,111217,700,1000,20,10,0,5,1,4,13905,2,2,3,3,2,3,3,1,3,3,1,3,3,2,2
Endicott,113017,495,500,10,10,0,1,1,4,13760,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
51 sherman,112817,1400,2000,40,20,0,3,0,4,13790,2,3,2,3,3,3,3,3,3,3,2,3,3,3,1
Binghamton,121017,900,1100,30,10,0,4,1,4,13903,2,3,2,3,3,3,2,3,3,2,2,3,3,3,2
14 Schubert Street,120517,2000,2000,60,20,1,1,0,4,13905,2,2,3,3,2,3,2,2,3,2,2,3,3,2,1
Norwich,112817,1275,2300,40,25,0,4,0,4,13815,3,2,2,3,3,3,3,3,3,2,2,3,3,2,2
"231 Ackley Ave, Johnson City NY",121017,950,1100,30,15,0,3,1,0,13790,2,3,2,3,2,3,3,1,3,3,1,3,3,3,2
Endicott,112917,1700,2044,30,20,0,3,0,2,13760,2,3,3,3,2,3,3,3,3,2,1,3,3,2,2
"Binghamton, NY",0,800,1738,30,20,0,0,0,0,13905,3,2,2,3,3,3,3,2,3,3,2,3,3,2,0
,121117,750,1010,20,10,0,0,1,4,13903,2,2,2,3,3,3,2,1,3,3,1,3,3,3,2
Conklin Ave,112217,1600,2100,40,20,0,0,0,0,13903,2,2,2,3,2,3,3,1,3,3,2,3,3,2,1
Johnson City,120917,1375,2268,40,25,0,4,0,2,13790,3,2,3,3,2,3,3,2,3,2,1,3,3,2,2
Binghamton,120917,1200,1454,40,15,0,4,0,3,13903,2,2,2,3,3,3,2,1,3,2,1,3,3,2,2
Endicott,120917,925,1362,30,10,0,4,0,3,13760,2,2,2,3,2,3,3,1,3,3,2,3,3,2,2
142 Temple STreet,120917,950,900,30,15,0,0,1,0,13827,3,2,2,3,2,3,3,1,3,2,1,3,3,2,2
128 HAWLEY STREET,120217,1500,1500,40,20,1,3,1,4,13901,3,2,2,3,2,3,3,3,3,3,2,2,3,2,1
Cortland,111217,950,1100,30,10,0,0,1,0,13045,2,2,2,3,2,3,3,2,3,3,2,3,3,2,0
150 MURRAY ST,0,1400,1350,40,10,1,3,1,4,13905,3,3,3,3,2,3,3,1,3,3,2,3,3,2,0
"231 Ackley Ave, Johnson City NY",110917,950,1100,30,15,0,0,0,0,13790,2,3,2,3,2,3,3,2,3,3,3,3,3,2,2
Johnson City,120917,650,850,20,10,0,2,1,4,13790,2,2,2,3,3,3,2,1,3,2,1,3,3,3,1
8 Edwards,120617,1100,1000,20,10,1,3,1,4,13905,2,3,2,3,2,3,3,2,3,3,3,3,3,3,1
"Oak, Murray, Chapin, Walnut, St John, Chestnut, Leroy, Semin",112817,3150,3500,70,50,1,3,0,4,13905,2,3,2,3,3,3,3,3,3,3,2,3,3,3,1
Westside,120817,2250,2200,50,20,1,2,4,4,13905,2,2,2,3,2,3,3,3,3,3,3,3,3,3,1
Goethe St,120817,1155,1350,30,10,1,1,4,3,13905,3,2,3,3,3,3,3,2,3,3,2,3,3,2,1
TOWN OF CHENAGO,120817,725,850,20,10,0,2,9,4,13901,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
34 Mozart St,120617,900,1250,30,10,0,1,1,4,13905,3,2,2,3,3,3,3,2,3,3,1,3,3,2,2
135 Laurel Ave,0,700,700,10,10,1,3,1,4,13905,3,2,2,3,2,3,2,2,3,2,2,3,3,2,1
30 Stuyvesant St,120617,2450,3000,70,40,1,2,0,4,13901,2,2,2,3,2,3,3,2,3,3,2,3,3,2,1
14 Garfield Avenue Binghamton NY,120717,960,1000,30,10,1,0,1,4,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,1
337 Riverside Dr Johnson City NY,120717,800,850,20,10,0,0,1,4,13790,2,2,2,3,3,3,3,2,3,3,2,3,3,2,1
east Main St,120717,650,800,10,10,0,3,1,4,13827,2,2,2,3,3,3,2,1,3,2,1,3,3,2,2
265 Main St.,0,4500,3600,80,35,1,3,1,4,13905,3,3,2,3,3,3,2,2,3,2,1,3,3,3,1
,120517,734,1302,40,20,1,3,1,4,13850,3,3,2,3,3,3,3,3,3,3,3,3,3,3,1
Owego,120517,1200,1200,20,15,0,3,1,0,13827,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
"Oak, Murray, Chapin, Walnut, Seminary, Leroy, Ayres, St John",102117,3325,3500,70,40,1,3,0,4,13905,2,3,2,3,2,3,3,2,3,3,1,3,3,2,1
Binghamton,120417,750,675,10,10,0,1,1,4,13905,2,2,3,3,2,3,2,1,3,2,1,3,3,2,1
Chapin St. Just off of Leroy St.,112717,1425,1600,30,20,0,3,1,4,13905,2,3,3,3,3,3,3,2,3,3,2,3,3,2,1
Binghamton,120417,2000,2500,50,20,1,1,0,4,13905,3,2,2,3,3,3,3,2,3,3,3,3,3,2,1
5 Gary Street,120417,1875,2100,50,10,1,1,0,4,13905,3,2,2,3,3,3,2,2,3,2,3,3,3,2,1
1216 vestal Ave Binghamton,110617,850,1030,30,20,0,0,1,0,13903,3,2,2,3,3,3,3,2,3,3,2,3,3,2,2
binghamton,120117,2000,2200,40,15,0,2,0,4,13905,2,3,3,3,3,3,3,2,3,3,3,3,3,2,1
Goethe St,112917,1155,1350,30,10,1,1,1,3,13905,2,2,3,3,3,3,3,2,3,3,3,3,3,2,1
Conklin Ave,112217,1600,2050,40,20,0,0,0,0,13901,2,2,2,3,2,3,3,2,3,3,2,3,3,2,1
3 Crandall St,110117,1300,2400,40,20,1,3,0,4,13905,3,2,2,3,2,3,3,2,3,2,2,3,3,2,1
140 Chapin St,103017,1275,1500,30,10,1,3,1,4,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,1
105 Chestnut St,103017,2450,2800,70,20,1,3,1,4,13905,3,2,2,3,2,3,2,2,3,3,2,3,3,2,1
Front St,103017,2200,5000,40,20,1,3,0,4,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,1
"Endwell, NY",110217,650,1000,20,10,0,5,1,4,13760,3,2,2,3,2,3,2,1,3,2,1,3,3,2,2
Endicott,111817,550,600,10,10,0,1,1,4,13760,2,2,2,3,2,3,3,1,3,3,1,3,3,2,2
"Grand Ave., J/C",112917,485,500,10,10,0,5,1,4,13790,2,2,2,3,2,3,2,2,3,2,2,3,3,2,2
port dickinson/cv,112817,735,1100,20,10,0,3,1,4,13901,2,3,2,3,2,3,3,1,3,2,1,3,3,2,2
Endicott,110117,330,250,10,10,0,1,0,4,13760,2,2,2,3,2,3,3,1,3,3,2,3,3,2,2
binghamton eastside,112717,650,620,20,10,0,4,1,4,13904,2,2,2,3,2,3,3,1,3,3,1,3,3,2,2
"Oak, Murray, St John, Arthur",110317,2375,2400,50,30,1,3,0,4,13905,2,3,2,3,3,3,3,2,3,3,1,3,3,2,1
140 Chapin St,111617,550,700,10,10,1,1,1,4,13905,3,2,2,3,2,3,3,2,3,3,2,3,3,2,1
Johnson City,112017,410,600,10,10,0,5,1,4,13790,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
Endicott,102717,400,500,10,10,0,0,1,4,13760,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
Near Main Street,112317,1500,2000,50,20,1,1,1,4,13905,3,2,2,3,3,3,3,2,3,3,2,3,3,2,1
34 Chestnut,102417,1600,2400,40,25,0,3,0,4,13905,3,2,2,3,3,3,3,2,3,3,2,3,3,2,1
"Elisabeth ln, bing.",102517,1250,1750,30,30,0,4,0,1,13903,3,2,2,3,3,3,3,1,3,3,1,3,3,2,2
Apalachin,112317,984,1591,30,20,0,4,0,0,13670,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
19TH JACKSON,110917,1095,900,10,10,0,4,1,0,13903,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
Northside,102717,575,350,10,10,1,5,1,4,13901,2,2,3,3,2,3,3,2,3,2,2,3,3,2,1
Sanitaria Springs,112517,1000,2200,30,20,0,3,0,3,13904,3,3,3,3,2,3,2,2,3,2,2,3,3,2,2
Harpursville,102417,675,980,20,20,0,4,10,4,13787,2,2,2,3,2,3,2,2,3,2,2,3,3,2,2
"Whitney Point, NY",102117,650,700,10,10,0,0,1,4,13862,2,2,2,3,2,3,3,1,3,2,1,3,3,2,2
Johnson City,102317,1525,1200,40,10,0,3,0,4,13790,2,2,2,3,3,3,3,2,3,3,2,3,3,3,1
31 Laurel Ave.,111717,900,1014,20,10,1,5,0,0,13905,3,2,2,3,3,3,2,2,3,3,2,3,3,2,2
West Endicott,111717,1125,1100,30,15,0,3,4,4,13760,3,2,2,3,3,3,2,1,3,2,1,3,3,3,2
1/2 mile from downtown,110317,760,1000,20,10,0,0,1,0,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
Waverly,0,675,1100,10,15,1,4,0,4,14892,2,2,2,3,2,3,3,2,3,3,2,3,3,2,0
Union Street/Badger Ave,111817,450,200,10,10,0,0,1,0,13760,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
1221 Main st vestal,111817,875,1000,30,10,0,2,0,4,13850,3,2,2,3,2,3,3,1,3,3,1,3,3,2,2
"North st, Endicott",111817,775,1100,30,10,0,0,1,0,13760,2,2,3,3,3,3,3,2,3,3,2,3,3,2,2
60n old Nanticoke rd Maine NY,111817,875,560,20,10,0,3,0,4,13802,2,2,2,3,2,3,3,1,3,2,1,3,3,2,2
endicott,102517,540,650,10,10,0,0,1,4,13760,2,2,2,3,3,3,3,1,3,3,2,3,3,2,2
Goethe St,111917,1155,1350,30,10,1,1,1,3,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,1
West Side,111217,2000,2300,50,15,0,3,0,2,13905,2,3,2,3,3,3,3,2,3,3,2,3,3,2,2
,111517,2750,2000,50,20,1,3,0,1,13905,2,2,2,3,3,3,2,2,3,2,2,3,3,2,1
"308 Roosevelt Endicott, NY",110117,650,900,20,10,0,1,1,4,13760,2,2,2,3,3,3,3,1,3,3,1,3,3,2,2
"Endwell, New York",110117,650,900,20,0,0,2,1,4,13760,2,2,2,3,3,3,3,1,3,3,1,3,3,2,2
"Endicott, New York",110117,725,900,10,10,0,1,1,4,13760,2,2,2,3,3,3,3,1,3,3,1,3,3,2,2
229 Airport Road Endicott,111617,750,1098,20,20,0,4,4,4,13760,3,2,2,3,3,3,2,2,3,2,2,3,3,2,2
cortland,102117,2900,2600,80,20,0,1,1,4,13045,2,2,2,3,3,3,3,2,3,2,2,3,3,2,1
Goethe St,111617,1200,1350,30,10,1,1,0,4,13905,3,2,2,3,3,3,3,2,3,2,2,3,3,2,1
Goethe St,111617,1155,1350,30,10,1,1,4,3,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,1
Binghamton,111317,1245,1089,20,20,0,0,1,0,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
1/2 Mile From Downtown,101817,620,800,10,10,0,5,4,0,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
Conklin,102317,900,1300,20,10,0,4,4,2,13748,3,2,2,3,3,3,3,2,3,3,2,3,3,2,2
Between Great Bend Pa and Binghamton NY,111417,775,800,20,10,0,1,1,4,13903,2,2,2,3,3,3,2,1,3,2,1,3,3,2,1
44 Rickard St,111417,750,925,20,10,0,1,1,4,13045,2,2,2,3,3,3,2,1,3,2,1,3,2,2,2
Towanda,111317,775,1200,30,10,1,2,1,4,13903,2,2,2,3,3,3,2,2,3,2,2,3,3,2,2
Towanda,111317,600,1050,10,10,1,2,1,4,13903,2,2,2,3,3,3,2,2,3,2,2,3,3,2,2
Binghamton  Westside,111217,650,1200,20,10,1,1,1,4,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,1
Between Binghamton and Windsor NY,0,775,800,20,10,0,1,1,4,13865,2,2,2,3,3,3,2,2,3,2,1,3,3,2,0
,0,2750,2000,50,20,1,3,0,1,13903,3,2,2,3,3,3,2,2,3,2,2,3,3,2,0
"Binghamton, NY",0,800,1320,30,20,0,0,0,0,13905,3,2,2,3,3,3,3,2,3,3,2,3,3,2,0
Binghamton,0,2200,3000,80,20,1,3,0,4,13905,3,2,2,3,3,3,3,2,3,3,2,3,3,2,1
BINGHAMTON,0,600,1500,10,10,0,3,1,4,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,1
150 Leroy,0,1050,1200,30,10,0,1,1,4,13905,2,2,2,3,2,3,3,2,3,3,2,3,3,2,1
"Oak, Murray, Chapin, Walnut, St John, Chestnut, Seminary, Le",0,3325,3500,70,40,1,3,0,4,13905,3,2,2,3,3,3,3,2,3,3,2,3,3,2,1
BINGHAMTON,0,1400,1500,40,10,0,3,1,4,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,3,1
"80 Baker Street, Johnson City, NY",0,775,900,20,10,0,0,0,0,13760,2,2,2,3,3,3,3,1,3,2,1,3,3,2,0
"Vestal, NY",0,1700,2500,40,30,0,3,0,2,13850,3,3,2,3,3,3,3,1,3,3,1,3,3,2,0
107 Park Ave.,0,700,950,30,10,0,4,1,4,13903,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0
Kirkwood just outside of Binghamton NY,0,850,800,20,10,0,1,1,4,13795,2,3,3,3,3,3,2,1,3,2,1,3,3,2,0
97 Chapin St.at Leroy 2017-18,101917,3325,3500,70,50,1,3,0,4,13905,3,3,3,3,3,3,3,2,3,3,2,3,3,2,1
38 deer trail lane,111517,600,900,20,10,0,3,0,4,18818,3,2,2,3,3,3,3,2,3,2,2,3,3,2,2
213 Crest Road,111717,1000,1200,30,10,0,0,0,2,13903,3,3,3,3,3,3,3,2,3,3,2,3,3,2,2
151 Oak St,112017,675,700,10,10,0,0,1,3,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
151 Oak St,112017,675,700,10,10,1,0,1,3,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,1
Town of chenago,112017,725,850,20,10,0,4,9,4,13903,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
Norwich,112117,800,900,20,10,0,0,1,4,13815,2,2,2,3,3,3,2,1,3,2,1,3,3,2,2
Vestal,112117,800,870,20,10,0,2,1,4,13850,2,3,2,3,3,3,2,1,3,2,1,3,3,2,1
Old Vestal  Road,111517,750,870,20,10,0,2,1,4,13850,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
43 Mill Street,111217,725,1200,20,10,0,4,1,4,13903,2,2,2,3,3,3,2,1,3,3,2,3,3,2,2
Johnson City,112217,1140,825,20,10,0,0,0,0,13790,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
Chapin street,102317,3500,2500,70,20,1,3,1,4,13905,2,2,3,3,3,3,3,2,3,3,1,3,3,2,1
West Endicott,102717,750,800,20,10,0,0,1,4,13790,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
BINGHAMTON  SOUTH SIDE,112517,825,1800,30,10,0,4,1,4,13903,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
Endicott,111917,3000,4700,40,35,0,2,0,2,13760,3,2,2,3,3,3,3,2,3,3,2,3,3,2,2
23 Stuyvesant Street,102917,2250,2600,60,20,1,3,0,4,13901,3,3,2,3,3,3,2,2,3,3,2,3,3,2,1
cortland,110217,2900,2400,80,20,1,1,1,4,13045,2,2,2,3,3,3,2,2,3,2,2,3,3,2,1
Town of chenago,112617,725,850,20,10,0,4,9,4,13901,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
39 Charles Street,111317,800,800,20,10,0,4,1,4,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
39 Charles Street,111317,800,900,20,10,0,4,1,4,13905,2,2,2,2,3,3,3,1,3,3,1,3,3,2,2
"37 Adams Ave, Johnson City, NY",111317,750,600,10,10,0,1,1,4,13790,2,3,3,3,3,3,3,1,3,3,1,3,3,2,2
,111317,900,1000,20,10,0,4,1,4,13905,2,2,2,3,3,3,3,1,3,2,1,3,3,2,2
179 Murray Street,102917,1395,1725,50,20,0,5,0,4,13905,2,2,2,3,3,3,2,1,3,2,1,3,3,2,2
owego,110917,1200,2600,60,25,0,4,0,2,13827,2,3,3,2,3,3,2,1,3,2,1,3,3,2,2
"Sayre, Pa",112517,685,1000,20,15,0,4,1,4,18840,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
Conklin,110617,900,1300,20,10,0,4,1,2,13784,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
381 Main St,110317,595,570,20,10,0,1,1,4,13827,2,2,2,3,3,3,3,1,3,3,1,3,3,2,2
38 Oak St. CLOSE TO DT WESTSIDE,110317,2250,2400,50,20,1,3,0,4,13905,2,3,2,3,3,3,3,1,3,3,2,3,3,3,1
Between Binghamton and Great Bend PA,120117,850,800,20,10,0,1,1,4,13903,2,3,3,3,3,3,3,2,3,3,2,3,3,2,2
101 Park,110217,900,1810,30,20,1,2,0,2,13905,3,3,3,3,3,3,3,2,3,3,1,3,3,2,1
