Address,Date,Price,Space Ft2,Bedroom,Bathroom,Furnished,Laundry,Housing Type,Parking,Zipcode,Exterior,KitchenApp,KitchenWall,KitchenFloor,KitchenFurn,LivingWall,LivingFloor,LivingFurn,BedWall,BedFloor,BedFurn,BathWall,BathFloor,BathFurn,Student Housing
Owego,120317,1900,2800,30,20,1,3,0,4,13827,3,2,2,3,3,3,3,2,3,3,2,3,3,2,2
Binghamton,111117,750,1000,20,10,0,4,1,4,13904,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
Binghamton East Side,120317,675,900,20,10,0,1,1,4,13903,2,2,2,3,3,3,1,1,3,1,1,3,3,2,2
"Johnson City, NY",111817,600,450,10,10,0,1,1,4,13903,2,2,2,3,3,3,3,1,3,3,1,3,3,2,1
Chenango Valley,110817,725,850,20,10,0,2,9,4,13901,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
Johnson city,120317,600,450,10,10,0,0,1,4,13903,2,2,2,3,3,3,3,2,3,3,2,3,3,2,1
cortland,111617,650,650,10,10,0,0,1,4,13045,2,2,2,3,3,3,2,1,3,2,1,3,3,2,2
264 Grand Ave,110517,775,775,20,10,0,0,0,0,13790,3,3,2,3,3,3,3,1,2,2,1,3,3,2,1
Binghamton,0,770,410,10,10,1,1,1,0,13905,2,2,3,3,3,3,3,1,3,3,1,3,3,2,0
,120417,600,250,10,10,0,0,1,2,13903,2,2,2,3,3,3,3,2,3,2,1,3,3,2,1
"Bainbridge, New York",0,650,900,20,10,0,3,10,4,13733,2,2,2,3,2,3,2,1,3,2,1,3,3,2,0
"Port Rd, Binghamton, NY",120517,950,1248,30,10,0,3,1,0,13901,2,2,2,3,3,3,3,1,3,3,1,3,3,2,2
Whitney Point,110717,750,875,20,10,0,1,1,4,13862,2,2,2,3,3,3,2,1,3,2,1,3,3,2,2
,120617,925,1400,30,20,0,4,4,4,13760,3,2,2,3,3,3,2,1,3,2,1,3,3,2,2
22 Edwards,120617,3850,2500,70,30,1,3,0,4,13905,2,3,2,3,3,3,3,2,3,3,2,3,3,3,1
27 LEROY ST. BINGHAMTON,120617,1200,1200,40,10,0,1,1,4,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
19HAENDEL,120217,2400,3000,60,20,0,1,0,4,13903,2,2,2,3,3,3,3,2,3,3,2,3,3,2,1
54 Cleveland Ave Binghamton ny,120617,1750,1917,50,25,0,2,0,3,13905,3,3,3,3,3,3,3,1,3,3,1,3,3,2,1
South Side- Binghamton,111417,950,1450,30,15,0,4,0,3,13903,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
108 Walnut St.,112817,3325,2800,70,20,1,3,0,4,13905,2,3,3,3,3,3,3,3,3,3,2,3,3,3,1
24 Edwards,120517,3150,2500,60,25,1,3,1,4,13905,2,3,2,3,3,3,3,3,3,3,2,3,3,2,1
121 Murray,112817,4400,3300,80,45,1,3,0,4,13905,2,3,2,3,3,3,3,2,3,3,2,3,3,2,1
JOHNSON CITY,120717,600,600,10,10,0,1,1,0,13790,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
1 BEDROOM IN OWEGO NY,120717,750,950,10,10,0,0,1,0,13827,2,2,2,3,3,3,2,1,3,3,2,3,3,2,2
"200 Rano Blvd, Vestal, NY",120717,930,880,20,10,0,1,1,4,13850,2,2,3,3,3,3,3,2,3,2,2,3,3,2,1
Vestal,120317,1000,1021,30,10,0,4,0,3,13790,2,2,2,3,3,3,2,1,3,3,1,3,3,2,2
,111417,800,850,20,20,0,1,1,4,13760,2,2,2,3,3,3,2,1,3,2,1,3,3,2,2
Staten Island,0,951,1696,30,20,0,4,0,0,10024,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0
KIRKWOOD,111717,695,800,20,10,0,2,1,4,13795,2,2,2,3,3,3,3,1,3,2,1,3,3,2,2
18 Maria manor south binghamton,120817,900,1200,20,10,0,3,1,2,13903,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
Prospect Ave ART Bldg,112717,1200,1000,10,20,1,3,1,4,13901,2,3,2,3,3,3,3,2,3,3,1,3,3,2,2
Binghamton,120817,1000,1100,30,10,0,4,0,4,13903,2,2,2,3,2,3,3,1,3,2,2,3,3,2,2
240 round pond road,0,775,1290,20,10,0,4,1,4,13778,2,3,2,3,3,3,3,1,3,3,1,3,3,2,0
37 Leroy st,120917,600,1000,20,10,1,3,1,0,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,1
71 Oak St,120317,2850,2500,60,40,1,3,0,4,13905,3,2,2,3,3,3,3,2,3,3,2,3,3,2,1
CORTLAND,120317,2900,2400,80,20,0,1,1,4,13045,2,2,2,3,3,3,2,2,3,2,2,3,3,2,1
135 Laurel Ave.,112917,700,700,10,10,1,3,1,4,13905,2,2,2,3,3,3,2,2,3,2,2,3,3,2,1
Binghamton,121017,750,1000,20,10,1,2,1,4,13905,2,3,3,3,3,3,3,2,3,3,2,3,3,2,1
"136 Laurel Avenue, Binghamton, ny",121017,1200,1600,30,10,1,1,1,4,13905,2,3,3,3,3,3,3,2,3,3,2,3,3,2,1
Owego,111317,650,800,20,10,0,2,1,4,13827,2,2,2,3,2,3,2,1,3,3,1,3,3,2,2
Afton,111817,690,840,30,10,0,4,10,4,13730,2,3,2,3,3,3,3,1,3,2,1,3,3,2,2
Whitney Point,113017,725,880,30,15,0,4,10,4,13862,2,2,2,3,3,3,3,2,3,3,1,3,3,2,2
bainbridge,121117,1100,900,20,20,1,0,1,4,13733,2,3,3,3,3,3,3,2,3,3,2,3,3,2,2
20 Otseningo Street #4 Binghamton,120317,575,600,10,10,0,5,1,4,13903,2,2,3,3,3,3,2,1,3,2,1,3,3,2,2
"364 FLORAL AVE, JOHNSON CITY, NY",112017,675,900,10,10,0,0,0,0,13790,3,3,3,3,3,3,3,2,3,3,1,3,3,2,1
West Endicott,112717,700,800,20,10,0,5,1,4,13790,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
Binghamton,120717,630,600,20,10,0,1,1,4,13903,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
Endicott,112617,900,1218,30,10,0,4,0,2,13760,2,2,2,3,3,3,3,1,3,3,1,3,3,2,2
1554 NY Rte 12,0,650,700,10,10,0,0,1,0,13901,2,2,2,3,3,3,3,1,3,3,1,3,3,2,0
"Beethoven St, Binghamton",121117,700,1694,40,20,0,3,0,2,13905,2,2,2,3,3,3,3,1,3,3,2,3,3,2,2
Owego,120117,550,600,10,10,1,2,1,4,13827,2,2,2,3,2,3,2,1,3,2,1,3,3,2,2
Endicott,120517,1050,1000,20,10,0,3,1,4,13760,2,3,2,3,3,3,3,1,3,3,1,3,3,3,1
Colesville Road,121217,1000,2225,50,20,0,1,0,2,13904,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
Owego,121217,702,980,20,10,0,4,10,4,13827,2,2,3,3,3,3,2,1,3,2,1,3,3,2,2
11 Hummingbird,121217,700,980,20,10,0,4,10,4,13827,3,2,2,3,3,3,2,1,3,2,1,3,3,2,2
Harpursville,112817,773,1064,30,20,0,4,10,4,13787,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
37 Leroy St.,121017,600,1000,20,10,1,2,1,0,13905,2,3,2,3,3,3,3,1,3,3,1,3,3,2,1
Binghamton,121217,1000,1100,30,10,0,4,0,4,13903,2,2,2,3,3,3,3,1,3,3,2,3,3,2,2
Hallstead,121217,2000,1900,40,20,0,1,0,4,18822,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
18 Goethe St,112017,695,900,20,10,1,3,1,4,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
140 Chapin St,120317,850,1200,20,10,1,3,1,4,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,1
Oak Murray Chapin,111817,2150,2000,50,20,1,3,0,4,13905,2,3,3,3,3,3,3,2,3,3,2,3,3,2,1
8 Edwards,121317,1100,750,20,10,1,3,1,4,13905,2,3,2,3,3,3,3,2,3,3,2,3,3,2,1
1 Mather,121317,900,700,20,10,1,3,1,4,13905,2,3,3,3,3,3,3,2,3,3,2,3,3,2,1
Endicott,121317,625,715,10,10,0,0,1,4,13760,2,2,2,3,2,3,3,1,3,3,2,3,3,2,2
Westside,121317,400,1800,40,20,1,2,4,4,13905,2,2,3,3,3,3,3,2,3,3,2,3,3,2,2
,121417,595,700,10,10,0,0,1,0,13901,3,2,2,3,3,3,3,1,3,3,1,3,3,2,2
,121417,800,1000,20,10,0,0,1,0,13905,2,3,3,3,2,3,3,1,3,2,1,3,3,2,2
Windsor Schools,121417,775,800,20,10,0,1,1,4,13865,2,2,2,3,3,3,2,1,3,2,1,3,3,2,1
Binghamton,121417,850,600,10,10,1,2,1,0,13901,2,2,3,3,3,3,3,2,3,3,2,3,3,3,1
Between Binghamton and Great Bend PA,121517,790,800,20,10,0,1,1,4,18821,2,2,2,3,2,3,2,1,3,2,1,3,3,2,1
I7 paige street owego ny,121517,650,1000,30,10,0,4,4,4,13827,2,2,2,3,3,2,2,1,2,2,1,2,3,2,2
11 Cedar St,121517,425,1200,40,0,0,0,1,0,13905,3,2,2,3,3,3,3,2,3,3,2,3,3,2,1
101 Court St,121517,700,2000,40,20,0,0,1,0,13901,2,3,3,3,3,3,3,2,3,3,2,3,3,2,1
38 Lake Street,121517,650,525,10,10,0,5,1,4,13827,2,2,2,3,3,3,2,1,3,2,1,3,3,2,2
Endicott,121617,800,1300,30,10,0,5,1,4,13760,2,2,3,3,3,3,3,1,3,3,1,3,3,2,2
38 Leekville Rd,121617,800,1280,30,20,0,3,10,3,13777,2,2,2,3,3,3,2,1,3,2,1,3,3,2,2
Rt 11,121717,750,875,20,10,0,1,1,4,13797,2,2,2,3,3,3,2,1,3,3,2,3,3,2,2
"321 main st,binghamton,ny",121717,575,700,10,10,0,5,1,4,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,1
conklin,121717,650,1000,20,10,0,0,1,4,13903,2,2,2,3,3,3,3,1,3,3,1,3,3,2,2
Binghamton,121717,1068,1459,30,20,0,3,5,2,13904,3,3,3,3,3,3,3,2,3,3,2,3,3,2,0
"159 Temple St, Owego, NY",121717,1100,1786,40,15,0,3,0,2,13827,3,2,2,3,3,3,2,1,3,2,1,3,3,2,2
Windsor Schools,121817,775,800,20,10,0,1,1,4,13865,2,2,2,3,3,3,2,1,3,2,1,3,3,2,2
154 Oak,121817,750,625,10,10,0,0,1,0,13905,2,2,3,3,3,3,2,1,3,3,2,3,3,2,1
61 Prospect Ave,121817,1200,1000,10,10,1,3,1,4,13901,2,3,3,3,2,3,3,2,3,3,2,3,3,2,2
Binghamton,121817,700,825,20,10,0,5,1,7,13905,2,2,2,3,3,3,3,1,3,3,1,3,3,2,2
5 Gary Street,121817,375,2100,50,20,0,1,0,4,13905,3,2,2,3,3,3,2,2,3,2,2,3,3,2,1
Oak street,121817,325,4860,40,10,1,1,1,4,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,1
Johnson City,121917,775,1040,20,10,0,1,4,3,13790,3,2,2,3,3,3,3,2,3,3,2,3,3,2,2
VESTAL PKWY E,121917,1500,1500,60,20,0,4,0,2,13850,3,2,2,3,3,3,3,1,3,2,1,3,3,2,2
Endicott,121917,575,600,10,10,0,2,1,4,13760,2,2,2,3,3,3,3,1,3,3,1,3,3,2,2
120 Murray St.,122017,425,2850,0,30,0,0,1,0,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,1
Endicott,122017,725,900,20,10,0,0,4,4,13760,2,2,2,3,3,3,2,1,3,2,1,3,3,2,0
9 Cedar St.,122117,425,1200,40,10,0,0,1,0,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,1
138 Court St.,122117,700,2850,40,10,0,0,1,0,13901,2,3,2,3,3,3,3,2,3,3,2,3,3,2,2
"Endwell, NY",122117,2000,2175,30,20,1,3,1,2,13760,2,3,3,3,3,3,2,2,3,2,2,3,3,3,2
Afton,122117,575,200,10,10,0,5,1,4,13730,3,2,2,3,3,3,3,1,3,2,2,3,3,2,2
Endicott,122317,725,900,20,10,0,0,4,4,13760,2,2,2,3,3,3,2,1,3,2,1,3,3,2,2
,122517,650,640,20,10,0,5,0,4,13760,3,2,2,3,3,3,2,1,3,2,1,3,3,2,2
Windsor Schools,122717,775,800,20,10,0,1,1,4,13850,2,2,2,3,3,3,2,1,3,2,1,3,3,2,2
Kirkwood,122717,775,800,20,10,0,1,1,4,13795,2,2,2,3,3,3,2,1,3,2,1,3,3,2,1
"Binghamton, NY",122717,575,550,10,10,0,3,1,1,13901,3,2,2,3,3,3,3,1,3,3,1,3,3,2,2
154 Oak,122717,750,625,10,0,0,0,1,0,13905,2,3,3,3,3,3,2,2,3,2,2,3,3,2,1
120 Murray St.,122717,425,2850,80,30,0,0,1,0,13905,2,2,2,3,3,3,3,1,3,3,1,3,3,2,1
99 Chestnut St.,122717,425,3700,80,0,0,0,1,0,13905,2,2,2,3,3,3,3,2,3,2,2,3,3,2,2
135 Laurel Ave,122717,700,700,10,10,1,3,1,4,13905,3,2,2,3,3,3,2,2,3,2,2,3,3,2,1
32 Edwards,122717,650,650,10,10,1,3,1,0,13905,2,3,2,3,3,3,3,2,3,3,2,3,3,2,1
"Endicott, NY",122817,1300,1600,30,20,0,4,4,2,13760,3,3,2,3,3,3,3,1,3,3,1,3,3,2,2
101 Court St.,122817,700,2000,80,20,0,0,1,0,13901,2,3,3,3,3,3,3,2,3,3,2,3,3,2,1
138 Court st.,122817,700,2850,30,10,0,0,1,0,13901,2,3,2,3,3,3,3,2,3,3,2,3,3,2,1
9 Cedar,122817,425,1200,40,10,0,0,1,0,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,1
Johnson City,122817,500,950,10,10,0,0,1,0,13790,2,2,2,3,3,3,2,1,3,2,1,3,3,2,2
Endicott,122817,575,600,10,10,0,4,1,4,13760,2,2,3,3,3,3,3,1,3,3,1,3,3,2,2
Binghamton,122917,425,1200,40,10,1,0,1,4,13905,3,2,2,3,3,3,3,2,3,3,2,3,3,2,1
99 Chestnut St.,122917,425,2850,0,30,0,0,1,0,13905,2,3,2,3,3,3,3,1,3,3,2,3,3,2,1
24 centenary,122917,850,600,10,10,0,0,1,0,13901,2,3,2,3,3,3,3,2,3,3,1,3,3,3,1
401 W. Main Street,122917,525,530,10,10,0,1,1,4,13760,2,2,2,3,3,3,2,1,3,2,1,3,3,2,2
West Endicott,122917,1095,1100,30,15,0,3,4,4,13760,2,2,2,3,3,3,2,1,3,2,1,3,3,2,2
121 Murray,122917,550,3300,80,45,1,3,0,4,13905,2,3,2,3,3,3,3,1,3,3,1,3,3,2,1
24 Edwards,122917,500,600,80,35,1,3,1,0,13905,2,3,2,3,3,3,3,2,3,3,2,3,3,2,1
108 Walnut St.,122917,475,2800,70,20,1,3,0,4,13905,2,3,2,3,3,3,3,2,3,3,2,3,3,2,1
Endicott,122917,575,600,10,10,0,0,1,0,13760,2,2,3,3,3,3,3,1,3,3,1,3,3,2,2
"233 Willow St Johnson City, NY",123017,550,600,10,10,0,5,1,4,13790,2,2,2,3,3,3,3,1,3,3,1,3,3,2,2
"West End Ave, Binghamton",123017,1050,1600,30,10,0,4,1,4,13905,3,2,3,3,3,3,3,1,3,2,1,3,3,2,1
Endicott,123017,850,1200,30,10,0,1,4,3,13760,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
Endicott,123017,925,1362,30,10,0,4,0,3,13760,2,2,2,2,3,3,3,1,3,2,1,3,3,2,2
Troy,123017,900,2000,40,15,0,2,0,4,16947,2,2,2,3,3,3,3,1,3,3,1,3,3,2,2
Whitney Point,123117,725,880,30,15,0,4,10,4,13862,2,2,2,3,3,3,2,1,3,2,1,3,3,2,2
,123117,825,1200,20,10,0,0,1,0,13760,2,2,2,3,3,3,3,1,3,3,1,3,3,2,2
,10118,950,1100,30,15,0,3,4,4,13760,2,3,3,3,3,3,3,1,3,2,1,3,3,2,2
ENDWELL,10118,995,1000,20,10,0,3,4,3,13760,2,2,2,3,3,3,2,1,3,2,1,3,3,2,2
28 Second Street,10118,900,1000,30,10,0,3,1,4,13790,3,2,2,3,3,3,3,1,3,3,1,3,3,2,1
3-Foundry Street,10118,625,850,20,10,0,5,1,4,13778,2,2,2,3,3,3,2,1,3,2,1,3,3,2,2
16 Livingston St,10118,600,625,10,10,0,2,1,4,13903,3,2,3,3,3,3,3,1,3,3,1,3,3,2,2
chapin st,10218,700,950,20,10,0,4,1,0,13905,2,2,2,3,3,3,3,1,3,2,1,3,3,2,2
105 Chestnut St l,10218,325,3000,10,20,1,3,1,4,13905,2,3,2,3,3,3,3,1,3,2,2,3,3,2,1
Binghamton,10218,475,1300,30,10,1,2,1,4,13905,2,3,2,3,3,3,3,2,3,3,1,3,3,2,1
Endicott,10218,725,900,20,10,0,0,4,4,13760,2,2,2,3,3,3,2,1,3,2,1,3,3,2,1
Binghamton,10218,425,2800,60,20,1,1,1,4,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
Kirkwood,10218,660,650,10,10,0,1,1,4,13795,2,2,2,3,3,3,2,1,3,2,1,3,3,2,1
29 Edwards,10218,1350,1500,30,15,1,3,1,4,13905,2,3,2,3,3,3,3,2,3,3,1,3,3,2,1
138 LAUREL AVE,10218,1100,1600,30,10,0,0,0,3,13905,2,2,2,3,3,3,3,1,3,3,1,3,3,2,2
"33 schiller st,binghamton,ny",10318,650,700,10,10,0,5,1,4,13905,3,2,2,3,3,3,3,1,3,2,2,3,3,2,1
Owego,10318,650,800,20,10,0,2,1,4,13827,2,2,2,3,3,3,2,1,3,3,1,3,3,2,2
Endwell,10318,1350,2200,40,20,1,3,0,4,13760,3,2,2,3,3,3,3,2,3,2,2,3,3,2,2
"Park Ave Binghamton, NY",10318,850,1000,20,10,0,4,1,0,13903,2,2,2,3,3,3,3,1,3,3,1,3,3,2,2
130 Chapin St,10418,575,1000,10,10,0,5,1,4,13905,2,2,2,3,3,3,3,1,3,3,1,3,3,2,2
Windsor Schools,10418,660,650,10,10,0,1,1,4,13850,2,2,2,3,3,3,2,1,3,2,1,3,3,2,2
"Candor, NY",10418,700,800,20,10,0,5,1,4,13743,2,3,2,3,3,3,3,1,3,2,1,3,3,2,2
Southside,10418,725,800,20,10,0,0,1,0,13903,2,2,2,3,3,3,3,1,3,3,1,3,3,2,2
Endicott,10418,725,900,20,10,0,0,4,4,13760,2,2,2,3,3,3,2,1,3,2,1,3,3,2,2
Goethe St,10418,435,1350,30,10,1,1,1,3,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,1
"Endicott, NY",10418,500,900,10,10,0,5,1,4,13760,3,2,2,3,3,3,2,1,3,2,1,3,3,2,1
Endicott,10418,575,600,10,10,0,2,1,4,13760,2,2,2,3,3,3,3,1,3,3,1,3,3,2,2
Harpursville NY,10518,700,980,30,10,0,4,10,4,13787,2,2,2,3,3,3,2,1,3,2,1,3,3,2,2
147 state st.,10518,650,1300,20,20,1,2,0,4,13901,2,2,2,3,3,3,2,2,3,2,2,3,3,2,2
Owego,10518,997,1344,30,20,0,4,10,4,13827,2,3,2,3,3,3,2,1,3,3,1,3,3,2,2
Owego,10518,1900,2800,30,20,1,3,0,4,13827,3,3,3,3,3,3,3,2,3,3,1,3,3,2,2
Chenango Bridge,10518,1100,2400,30,30,0,4,0,4,13901,2,2,2,3,3,3,2,1,3,2,1,3,3,2,2
"Whitney Point, NY",10618,650,700,10,10,0,0,1,4,13862,2,2,2,3,3,3,3,1,3,2,1,3,3,2,2
cortland,10618,1200,1600,30,20,0,1,1,4,13045,2,2,2,3,3,3,2,1,3,3,1,3,3,2,2
cortland,10618,2900,2400,80,20,0,1,1,4,13045,3,2,2,3,3,3,2,2,3,2,2,3,3,2,1
Binghamton,10618,1500,2350,40,30,0,2,0,4,13901,2,3,3,3,3,3,3,2,3,2,2,3,3,2,2
713 Evert St. J.C.,10718,1175,1300,30,10,0,3,0,2,13790,3,2,2,3,3,3,3,1,3,3,1,3,3,2,2
Oak St,10718,650,650,20,10,0,1,1,4,13905,2,2,2,3,3,3,3,2,3,3,1,3,3,2,2
Port Crane,10718,700,816,20,10,0,4,0,1,13833,2,2,2,3,3,3,3,1,3,3,1,3,3,2,2
binghamton,10718,950,1400,40,10,0,4,1,4,13905,2,2,2,3,3,3,3,1,3,3,1,3,3,2,2
"Broad St, Endicott, NY",10718,795,1080,30,10,0,3,4,4,13760,2,3,2,3,3,3,3,1,3,3,1,3,3,2,2
Susquehanna,10818,950,1828,40,20,0,0,0,4,18847,2,2,2,3,3,3,2,1,3,3,1,3,3,2,2
Binghamton,10818,750,625,10,10,1,2,1,4,13905,2,2,2,3,3,3,2,1,3,2,1,3,3,2,1
Binghamton,10818,400,3200,50,20,1,1,1,4,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,1
Binghamton,10818,535,2000,50,20,1,3,1,0,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,1
Binghamton,10818,1245,10000,20,20,0,1,1,4,13905,2,2,2,3,3,3,2,2,3,2,2,3,3,2,2
Binghamton,10818,1056,802,10,10,0,1,1,4,13905,2,2,2,3,3,3,2,2,3,2,2,3,3,2,2
3-Foundry St.,10818,575,550,10,10,0,5,1,4,13778,2,2,2,3,3,3,2,1,3,2,1,3,3,2,2
Endicott,10918,525,550,10,10,0,4,1,4,13760,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
128 HAWLEY STREET,10918,1500,1500,40,20,1,3,1,4,13901,3,2,2,3,3,3,3,2,3,3,2,3,3,2,1
150 MURRAY ST,10918,1400,1350,40,10,1,3,1,4,13905,3,3,3,3,3,3,3,2,3,3,2,3,3,2,1
19HAENDEL,10918,375,3000,60,20,0,1,0,4,13903,3,2,2,3,3,3,3,1,3,3,2,2,3,2,1
Endicott,10918,585,700,20,10,0,0,1,0,13760,2,2,2,2,3,3,2,1,3,2,1,3,3,2,2