Address,Date,Space Ft2,Bedroom,Bathroom,Furnished,Laundry,Housing Type,Parking
97 Chapin St.at Leroy 2017-18,,3500,70,30,1,3,0,4
"Grand Ave., J/C",,500,10,10,0,5,1,4
"Multiple Westside Locations Available Oak, Murray, Chapin, L",,3500,70,40,1,3,0,4
Binghamton,,802,10,10,0,1,1,4
Windsor Schools,,800,20,10,0,1,1,4
Between Binghamton and Windsor NY,,800,20,10,0,1,1,4
Kirkwood just outside of Binghamton NY,,800,20,10,0,1,1,4
Goethe St,12132017,,30,10,1,1,0,4
404 WEST MAIN STREET ENDICOTT,12132017,,20,10,0,4,1,4
Fallsburg,12132017,1724,30,20,0,4,1,0
Johnson City,12132017,700,20,10,0,5,1,0
317 Vestal Rd,12132017,,20,10,0,1,1,3
Binghamton,12132017,,60,20,1,3,0,4
Endicott,12132017,,10,10,0,0,1,0
8670 State Route 434,12132017,,20,10,0,1,1,4
Winding Way,12132017,,20,10,0,5,1,4
binghamton,12132017,1200,30,10,0,1,1,0
Binghamton,12132017,,50,20,0,3,1,4
164 Chapin St,12132017,,20,10,0,2,1,4
103 Murray,12132017,,10,10,0,2,1,4
Norwich,12132017,,20,10,0,0,1,4
128 Chapin St,12132017,,30,10,0,2,1,4
Windsor Schools,12132017,800,20,10,0,1,1,4
Kirkwood,12132017,800,20,10,0,1,1,4
Windsor Schools,12132017,800,20,10,0,1,1,4
Between Binghamton and Great Bend PA,12132017,800,20,10,0,1,1,4
Between Binghamton and Windsor,12132017,800,20,10,0,1,1,4
Kirkwood,12132017,800,20,10,0,1,1,4
Windsor Schools,12132017,800,20,10,0,1,1,4
Windsor Schools,12132017,800,20,10,0,1,1,4
Windsor Schools,12132017,800,20,10,0,1,1,4
Windsor Schools,12132017,800,20,10,0,1,1,4
Windsor Schools,12132017,800,20,10,0,1,1,4
Windsor Schools,12132017,800,20,10,0,1,1,4
Kirkwood,12132017,800,20,10,0,1,1,4
Between Binghamton and Great Bend PA,12132017,800,20,10,0,1,1,4
Kirkwood,12132017,800,20,10,0,1,1,4
Between Binghamton and Great Bend PA,12132017,800,20,15,0,1,1,4
Between Binghamton and Great Bend PA,12132017,800,20,10,0,1,1,4
Kirkwood,12132017,800,20,10,0,1,1,4
Kirkwood,12132017,800,20,10,0,1,1,4
DOWNTOWN AND PRIME WEST SIDE,12132017,,0,30,1,3,0,4
"Endicott, NY",12132017,,30,15,0,4,1,2
37 Brook Ave,12132017,,30,10,0,0,0,0
johnson city,12132017,,30,10,0,5,1,0
2700 East Main Street,12132017,,30,10,0,4,1,4
205 Cleveland Avenue,12132017,,10,20,0,5,1,4
Maine,12132017,,20,10,0,4,1,4
West Side,12132017,,30,20,1,0,1,0
West Side,12132017,,20,10,1,0,1,0
West Side,12132017,,10,10,1,1,1,4
West Side,12132017,,30,10,1,0,1,0
West Side,12132017,,30,10,0,0,1,0
139 MURRAY ST.,12132017,,30,10,1,1,1,4
139 MURRAY ST.,12132017,,30,10,1,1,1,4
MURRAY ST.,12132017,,30,10,0,1,1,4
"2901 North St, Endwell, NY",12132017,,20,10,0,2,1,4
Seminary Ave area,12132017,,50,20,1,3,0,4
walk to downtown,12132017,,20,10,1,5,1,4
"KIRKWOOD, NY",12132017,,10,10,0,0,1,4
227 Mathers Street,12142017,,0,10,0,0,0,0
142 MURRAY STREET,12142017,,10,10,1,5,1,0
West End,12142017,,50,20,1,3,0,4
"Casterline Ave, Endicott",12142017,,20,10,0,4,4,2
,12142017,1302,40,20,1,3,1,4
Between Binghamton and Great Bend PA,12142017,800,20,10,0,1,1,4
Windsor Schools,12142017,800,20,10,0,1,1,4
Kirkwood,12142017,800,20,10,0,1,1,4
113 W. Union St,12142017,,30,10,0,0,1,0
Harpursville NY,12142017,,20,10,0,4,10,4
Windsor Schools,12142017,800,20,10,0,1,1,4
Kirkwood,12142017,800,20,10,0,1,1,4
Kirkwood,12142017,800,20,10,0,0,1,0
R-E-N-T,12142017,,30,20,0,0,0,0
106 MAIN STREET,12142017,,10,10,0,0,0,0
,12142017,1260,20,20,0,0,1,0
Kirkwood,12142017,800,20,10,0,1,1,4
Marathon,12142017,,10,10,0,5,1,4
1104 Jenkins ST.,12142017,,30,10,0,4,1,4
Great Bend,12142017,,20,10,0,4,1,2
Kirkwood,12142017,800,20,10,0,1,1,4
Between Binghamton and Great Bend PA,12142017,800,20,10,0,1,1,4
Windsor Schools,12142017,800,20,10,0,1,1,4
Between Binghamton and Windsor,12142017,800,20,10,0,1,1,4
Schiller Street,12142017,,70,25,1,3,0,4
Beethoven,12142017,,30,10,1,3,0,4
Beethoven St,12142017,,10,10,1,3,0,4
"Conklin, NY",12142017,,30,20,0,4,10,4
Tremont ave,12142017,,30,10,1,3,1,4
"HAYES AVE . ENDICOTT, NY",12142017,,20,15,0,4,1,3
west side Beethoven st,12152017,,30,10,0,0,1,0
"Conklin, NY",12152017,,30,20,0,4,10,4
Owego,12152017,980,20,10,0,4,10,4
Bing west side,12152017,,10,10,0,5,1,4
CHAPIN ST,12152017,,60,20,1,2,1,4
SEMINARY AVE,12152017,,60,20,1,2,1,4
Kirkwood,12152017,800,20,10,0,1,1,4
146 Beethoven St,12152017,850,20,10,0,0,1,0
CHAPIN ST,12152017,,10,10,1,2,1,4
SEMINARY AVE,12152017,,30,10,1,2,1,4
7 Tremont avenue,12152017,,10,10,0,1,1,4
HELEN ST,12152017,,60,20,1,2,4,4
HELEN ST,12152017,,30,10,1,2,4,4
CHAPIN ST,12152017,,30,10,1,2,1,4
91 Oak St,12152017,850,10,10,0,0,1,0
garfield ave,12152017,,20,10,0,0,1,0
CHAPIN ST,12152017,,50,20,1,2,1,4
Endicott,12152017,1800,40,20,0,3,0,1
Windsor Schools,12152017,800,20,10,0,1,1,4
Kirkwood,12152017,800,20,10,0,1,1,4
Kirkwood,12152017,800,20,10,0,1,1,4
Windsor Schools,12152017,800,20,10,0,1,1,4
Seminary Avenue,12152017,,80,30,1,3,0,4
Maine,12152017,,20,10,0,0,1,0
Endicott,12152017,,10,10,0,0,1,4
26 lewis st johnson city ny 13790,12162017,,10,10,0,1,1,0
Schiller Street,12162017,,70,20,1,3,0,4
Grand Ave,12162017,,70,20,1,3,0,4
29 CLARKE STREET,12162017,,70,30,1,3,0,4
"Walnut, Murray, Seminary, Oak",12162017,,50,25,1,2,0,0
Newark Valley,12162017,,10,10,0,0,1,0
Binghamton - West,12162017,,30,15,0,4,1,0
"107 Murray Street, Binghamton",12162017,,0,50,1,3,1,4
"Sidney, NY",12162017,,20,10,0,3,0,3
"107 Murray Streeet, Binghamton",12162017,,50,20,0,2,1,4
593 Hooper,12162017,1795,30,10,0,4,0,4
9 S. WASHINGTON ST,12162017,500,10,10,0,2,1,4
Seminary Ave,12162017,,20,10,1,0,1,4
Seminary Ave area,12162017,,50,20,1,0,1,0
bin=++=gha=++=mton,12172017,,30,20,0,0,0,0
West Endicott,12172017,,20,10,0,0,1,0
Newark Valley,12172017,,30,15,0,4,0,2
biNghaMton,12172017,,30,20,0,0,0,0
Willow st,12172017,,30,10,0,0,1,0
Glen Castle   Endico,12172017,1194,40,15,0,0,9,0
Kirkwood,12172017,,20,10,0,0,1,4
Westside,12172017,,50,15,1,1,1,4
"209B Taylor Ave, Endicott",12172017,,30,15,0,0,4,2
Walnut St,12182017,,40,10,0,3,1,4
,12182017,,60,20,0,3,1,4
,12182017,,20,15,0,3,1,3
Binghamton Port Dickinson,12182017,,20,10,0,5,1,4
maine ny,12182017,,20,10,0,3,10,4
Endwell,12182017,,10,10,0,0,1,4
"237 Main Street, johnson City NY",12182017,,0,10,0,5,1,0
Binghamton WESTside of the Northside,12182017,,10,10,0,0,1,0
Kirkwood,12182017,800,20,10,0,0,1,0
Bainbridge,12182017,,20,10,0,0,0,0
Near Otsiningo Park,12182017,,10,10,0,0,1,0
Windsor Schools,12182017,800,20,15,0,1,1,4
Between Binghamton and Windsor,12182017,800,20,10,0,1,1,4
Between Binghamton and Great Bend PA,12182017,800,20,10,0,1,1,4
Kirkwood,12182017,800,20,10,0,1,1,4
Windsor Schools,12182017,800,20,10,0,1,1,4
Binghamton,12182017,150,10,10,1,0,5,0
Between Binghamton and Great Bend PA,12182017,800,20,10,0,1,1,4
Windsor Schools,12182017,800,20,10,0,1,1,4
50 Clarke,12182017,2000,50,10,0,0,1,0
158 Oak St.,12182017,2400,60,10,0,0,1,0
158 Oak St.,12182017,2400,60,10,0,0,1,0
154 Oak,12182017,625,10,10,0,0,1,0
Kirkwood,12182017,800,20,10,0,1,1,4
Windsor Schools,12182017,800,20,10,0,1,1,4
Kirkwood,12182017,800,20,10,0,1,1,4
Binghamton,12182017,,10,10,1,1,1,0
Binghamton,12182017,,30,0,1,3,0,4
Owego,12182017,1200,20,15,0,4,1,4
BINGHAMTON,12182017,,30,10,0,0,1,0
Endicott,12182017,,10,10,0,0,1,4
Endicott,12182017,,20,10,0,5,1,4
352 Robinson,12192017,,10,10,0,0,1,4
Owego NY,12192017,,0,10,0,0,1,4
Kirkwood,12192017,800,20,10,0,1,1,4
CHAPIN ST.,12192017,,20,10,1,2,0,4
Binghamton,12192017,,30,10,0,4,1,4
SEMINARY AVE.,12192017,,30,10,1,0,1,4
binghamton,12192017,,30,20,0,0,0,0
Endicott,12192017,900,20,10,0,0,4,4
Binghamton,12192017,,30,10,0,0,1,4
johnson city,12192017,,10,10,0,1,1,0
Evans st,12192017,,30,10,0,0,1,4
SEMINARY AVE.,12192017,,60,10,1,0,1,4
HELEN STREET,12192017,,60,20,1,2,4,4
CHAPIN ST.,12192017,,50,20,1,2,0,4
HELEN STREET,12192017,,30,10,1,2,4,4
CHAPIN ST.,12192017,,40,20,1,2,1,4
198 MAIN ST ),12192017,,40,0,0,0,1,0
CHAPIN ST.,12192017,,60,20,1,2,0,4
(  WESTSIDE BINGHAMTON 207-209 MAIN ST ),12192017,,40,0,0,0,1,0
188 MAIN ST,12192017,,10,10,0,5,1,4
CHAPIN ST.,12192017,,30,10,1,2,1,4
Endicott,12192017,2200,50,15,0,3,0,4
Between Binghamton and Great Bend PA,12192017,800,20,15,0,1,1,4
Kirkwood,12192017,800,20,10,0,1,1,4
Between Binghamton and Great Bend PA,12192017,800,20,10,0,1,1,4
johnson city,12192017,,20,10,0,4,0,4
West Colesville,12192017,,20,10,0,3,0,2
Kirkwood,12192017,800,20,10,0,1,1,4
Between Binghamton and Great Bend PA,12192017,800,20,10,0,2,1,4
Between Binghamton and Windsor,12192017,800,20,10,0,1,1,4
Between Binghamton and Great Bend PA,12192017,800,20,10,0,1,1,4
Windsor Schools,12192017,800,20,10,0,1,1,4
Kirkwood,12192017,800,20,10,0,1,1,4
JC,12192017,,10,10,0,5,1,0
2002 Union Center Main Highway,12192017,144,10,10,0,0,1,4
Johnson City Binghamton Border,12192017,,30,10,0,0,1,0
Endicott By Price Chopper Plaza,12192017,,10,10,0,5,1,0
Binghamton,12192017,,10,10,0,1,1,0
Binghamton,12192017,,0,10,0,1,1,0
Johnson City,12202017,,10,10,0,2,1,4
105 Roosevelt Avenue,12202017,,10,10,0,5,1,4
front st,12202017,,10,10,0,0,1,0
binghamton,12202017,,30,20,0,0,0,0
BINGHAMTON  SOUTH SIDE,12202017,1800,30,10,0,4,1,4
endicott,12202017,,20,10,0,5,4,0
Binghamton,12202017,,10,10,0,1,1,0
107 Birdsall St,12202017,,30,10,0,3,0,3
HELEN ST,12202017,,60,20,1,0,0,4
CHAPIN ST,12202017,,30,10,1,2,1,4
CHAPIN ST,12202017,,60,20,1,2,1,4
Binghamton,12202017,,40,0,0,0,1,0
159 Oak St.,12202017,1300,30,10,0,0,1,0
binghamton,12202017,,30,20,0,0,0,0
binghamton,12202017,,30,20,0,0,0,0
10 birch street,12202017,,10,10,0,0,1,1
Kirkwood,12202017,800,20,10,0,1,1,4
Kirkwood,12202017,800,20,10,0,1,1,4
CHAPIN ST,12202017,,50,10,1,2,1,4
SEMINARY AVE,12202017,,60,0,1,2,1,0
SEMINARY AVE,12202017,,30,0,1,2,1,0
HELEN ST,12202017,,30,10,1,0,0,4
Binghamton,12202017,,10,0,0,0,1,0
CHAPIN ST,12202017,,10,10,1,2,1,4
CHAPIN ST,12202017,,40,10,1,2,1,4
CHAPIN ST,12202017,,20,10,1,2,1,4
307 Garfield Avenue,12202017,,20,10,0,5,1,4
johnson city,12202017,,20,10,0,0,1,4
4 hillside court apt3,12202017,,20,10,0,3,1,4
binghamton,12202017,,30,10,0,0,1,0
Binghamton,12202017,,30,10,0,0,1,4
Binghamton,12202017,,10,10,1,1,1,0
Greene,12202017,,0,10,0,5,1,0
Newark Valley,12202017,,20,10,0,4,1,2
,12202017,,20,10,0,4,1,4
Newark Valley,12202017,,20,10,0,4,10,4
Binghamton,12202017,,30,10,0,1,1,0
"BINGHAMTON, NY",12202017,,20,10,0,0,1,0
Vestal,12212017,1320,40,20,1,3,1,4
139 MURRAY ST.,12212017,,30,10,1,1,1,4
27 Mathers Street,12212017,,30,10,0,0,0,0
Endicott,12212017,,10,10,0,0,1,4
,12212017,,20,10,0,4,1,4
Port Dickinson,12212017,,20,10,0,5,1,1
Vestal,12212017,1320,40,20,1,3,1,4
Binghamton,12212017,,30,15,0,3,1,3
Rhinecliff,12212017,1673,30,20,0,4,0,0
Whitney Point,12212017,,20,10,0,4,1,0
binghamton,12212017,,30,20,0,0,0,0
MARATHON,12212017,,10,10,0,0,1,4
Kirkwood,12212017,800,20,10,0,1,1,4
Endicott,12212017,,20,10,0,1,1,4
Kirkwood,12212017,800,20,10,0,1,1,4
19 Chenango St,12212017,,30,20,1,1,1,3
Endicott NY,12212017,625,10,10,0,0,1,4
19 Chenango St,12212017,,50,40,1,1,1,3
"3544 Smith Dr, Endwell, NY",12212017,,20,0,0,1,1,4
murray st.,12212017,,30,10,1,1,1,4
139 murray st.,12212017,,30,10,1,1,1,4
Endicott,12212017,,40,20,0,4,1,4
707 1/2 Monroe ave Endicott,12222017,,10,10,0,0,1,0
19 Chenango St,12222017,,20,20,0,1,1,3
Elma,12222017,1524,30,20,0,4,1,0
whitney point,12222017,,20,10,0,0,1,0
Endicott,12222017,,30,10,0,2,1,4
Johnson City,12222017,,30,10,0,0,1,0
Binghamton,12222017,550,10,10,0,5,1,0
"Grand Avenue, Johnson City",12222017,,10,10,0,0,1,4
19 Chenango Street,12222017,,10,10,1,1,1,3
"79, Collier St",12222017,250,10,10,1,5,9,4
MURRAY ST.,12222017,,30,10,1,1,1,4
Kirkwood,12222017,800,20,10,0,1,1,4
19 Chenango St,12222017,,40,40,1,1,1,3
"Little Falls, NY",12222017,,10,10,0,1,1,4
Windsor,12222017,,10,10,0,5,1,0
105 Roosevelt Avenue,12222017,,10,10,0,5,1,4
Kirkwood,12222017,800,20,10,0,1,1,4
Kirkwood,12222017,800,20,10,0,1,1,4
Kirkwood,12222017,800,20,10,0,1,1,4
Kirkwood,12222017,800,20,10,0,1,1,4
160 Seminary Ave,12222017,,20,10,1,0,1,3
Conklin,12222017,,20,10,0,5,1,4
"Endicott, NY",12222017,,20,10,0,0,0,0
22 Conklin Ave,12232017,,10,10,1,0,1,4
Chestnut Street,12232017,1700,30,10,0,0,1,0
Oxford,12232017,,30,10,0,5,1,4
duffy court,12232017,,20,0,0,1,1,4
Binghamton,12232017,1000,30,10,0,1,1,3
193 Willow st,12232017,,30,20,0,2,0,4
Vestal,12232017,,30,15,0,3,0,2
"Grand Avenue, Johnson City",12232017,,10,10,0,0,1,4
37 1/2 third street,12242017,,20,20,0,0,1,4
30 Pearl Avenue - North of Harry L. Drive,12242017,,20,10,0,4,1,4
Warwick,12242017,1643,30,20,0,4,0,0
"1148 Vestal Avenue, Binghmton",12242017,2050,50,30,0,5,0,4
160 Seminary Ave,12242017,,20,10,1,0,1,3
Binghamton,12242017,,10,10,0,2,1,4
,12242017,300,10,10,1,5,8,2
Binghamton,12242017,,30,10,0,4,4,4
,12252017,,10,10,0,0,1,0
,12252017,,20,10,0,4,1,4
Johnson City,12252017,,20,10,1,3,1,2
"Johnson City, NY",12252017,,10,10,0,0,1,4
"Port Dickinson, NY",12252017,,10,10,0,0,1,4
Binghamton,12252017,,30,15,0,2,0,4
"Vestal, New York",12252017,,40,20,0,0,0,0
Walton,12252017,,10,10,0,2,1,4
,12252017,1600,30,10,0,0,1,0
"Grand Avenue, Johnson City",12252017,,10,10,0,0,1,4
36 Tremont Ave,12262017,,10,10,0,0,1,0
20 Hawley Street,12262017,,10,10,1,2,1,2
Ilion,12262017,1787,30,20,0,4,1,0
,12262017,,30,20,0,0,0,0
23 Page Ave,12262017,,30,20,1,3,0,4
65-67 ALBERT ST,12262017,,20,10,1,3,1,4
Endicott,122917,1000,30,15,0,0,4,2
Endicott,10318,900,20,10,0,0,4,4
Chestnut Street,10718,1700,30,10,0,0,1,0
,10818,1600,30,10,0,0,1,0
Owego,122817,1200,20,15,0,4,1,4
24 Centenary,122817,600,10,10,0,0,1,0
BINGHAMTON SOUTH SIDE,10118,1800,30,10,0,4,1,4
"33 schiller st,binghamton,ny",10218,700,10,10,0,5,1,4
"Liberty Township, PA",10218,1064,20,20,0,4,1,4
35 N ave B Endwell,10318,582,30,10,0,3,1,4
Choconut Pa,10418,1000,30,20,0,3,0,4
Harpursville,10518,1064,30,20,0,4,10,4
East Elmhurst,10718,1721,30,20,0,4,1,0
South side,122717,950,20,15,0,2,9,4
Airport Rd Area,122717,1950,30,25,0,4,0,0
146 Beethoven St,122717,850,20,10,0,0,1,0
TOWN OF CHENAGO,122717,850,20,10,0,2,9,4
West Endicott,122817,800,20,10,0,5,1,4
,122817,1500,30,10,1,1,1,2
9 S. WASHINGTON ST,122917,600,10,10,0,2,1,4
Binghamton,122917,850,10,10,1,0,1,4
146 Beethoven St,122917,850,20,10,0,0,1,0
91 Oak St,122917,850,10,10,0,0,1,0
146 Beethoven St,122917,850,20,10,0,0,1,0
91 Oak St,122917,850,10,10,0,0,1,0
146 Beethoven St,122917,850,20,10,0,0,1,0
146 Beethoven St,122917,850,20,10,0,0,1,0
80 HOMER ST.,122917,600,10,10,0,5,1,0
"Hayes St and Elm St, Norwich, NY",123017,1700,20,10,0,2,4,4
69. St. John Ave.,10118,400,10,10,0,5,1,0
Greene,10118,1500,30,15,1,2,0,0
Binghamton,10218,1700,40,20,0,1,1,0
"Sayre, Pa",10218,450,10,10,0,2,1,4
Binghamton,10218,1700,40,20,0,1,1,4
Whitney Point,10218,800,20,10,0,5,1,4
Binghamton,10218,850,30,10,0,0,1,0
,10218,2500,40,30,0,4,0,4
Owego,10218,500,10,10,0,5,1,0
Vestal,10318,1020,20,15,0,1,1,4
Castle Gardens,10318,600,10,10,0,5,1,4
TOWN OF CHENAGO,10318,850,20,10,0,2,9,4
Endicott,10318,500,10,10,0,5,1,4
C Ave,10518,1350,20,15,1,3,3,4
Binghamton,10518,850,10,10,1,0,1,4
"19 front st, apt 18",10518,1350,20,25,1,3,2,1
Airport Rd Area,10618,2000,30,25,0,4,0,0
TOWN OF CHENAGO,10618,850,20,10,0,2,9,4
Maine,10618,800,20,10,0,1,0,1
Johnson City/Westover,10718,1100,20,10,0,1,0,4
Chenango forks,10818,1100,30,15,0,4,4,4
Binghamton,10818,2400,60,10,1,1,1,7
Binghamton,10818,2400,60,10,1,0,1,4
schubert st,10818,900,20,10,0,0,0,0
schubert st,10818,900,20,10,0,0,0,0
Ballston Spa,10818,1697,30,20,0,4,0,0
36 mill dt,10918,3000,50,20,0,1,0,4
Johnson City,10918,825,20,10,0,0,0,0
Kirkwood,122717,800,20,10,0,1,1,4
Between Binghamton and Great Bend PA,122717,800,20,10,0,1,1,4
Between Binghamton and Windsor,122717,800,20,10,0,1,1,4
Kirkwood,122717,800,20,10,0,1,1,4
Between Binghamton and Great Bend PA,122717,800,20,10,0,1,1,4
Windsor Schools,122717,800,20,10,0,1,1,4
Between Binghamton and Great Bend PA,122717,800,20,10,0,1,1,4
Kirkwood,122717,800,20,10,0,1,1,4
Between Binghamton and Great Bend PA,122717,800,20,10,0,1,1,4
Kirkwood,122717,800,20,10,0,1,1,4
Windsor Schools,122717,800,20,10,0,1,1,4
Windsor Schools,122717,800,20,10,0,1,1,4
Kirkwood,122717,800,20,10,0,1,1,4
Windsor Schools,122717,800,20,10,0,1,1,4
32 Edwards,122817,650,10,10,1,3,1,0
Kirkwood,122817,800,20,10,0,1,1,4
Windsor Schools,122817,800,20,10,0,1,1,4
Between Binghamton and Great Bend PA,122817,800,20,10,0,1,1,4
Kirkwood,122817,800,20,10,0,1,1,4
Between Binghamton and Windsor,122817,800,20,10,0,1,1,4
Between Binghamton and Windsor,122817,800,10,10,0,0,1,0
Kirkwood,122817,800,20,10,0,1,1,4
Windsor Schools,122817,800,20,10,0,1,1,4
Windsor Schools,122817,800,20,10,0,1,1,4
Kirkwood,122817,800,20,10,0,1,1,4
Endicott,122817,600,10,10,0,4,1,4
16 Elisabeth ln,122917,1725,30,30,0,4,0,1
Windsor Schools,122917,800,20,10,0,1,1,4
Between Binghamton and Windsor,122917,800,20,10,0,1,1,4
Binghamton,122917,2000,80,20,1,0,1,4
Binghamton,122917,850,20,10,0,0,1,0
99 Chestnut St.,122917,3700,80,30,0,0,1,0
138 Court St.,122917,2850,40,10,0,0,1,0
159 Oak St.,122917,1300,30,10,0,0,1,0
101 Court St,122917,2000,40,20,0,0,1,0
9 Cedar St.,122917,1200,40,10,0,0,1,0
101 Court St,122917,2000,80,20,0,0,1,0
11 Cedar St,122917,1200,40,10,0,0,1,0
9 Cedar St.,122917,1200,30,10,0,0,1,0
Kirkwood,122917,800,20,10,0,1,1,4
Windsor Schools,122917,800,20,10,0,1,1,4
Kirkwood,122917,800,20,10,0,1,1,4
Kirkwood,122917,800,20,10,0,1,1,4
Windsor Schools,122917,800,20,10,0,1,1,4
Windsor Schools,122917,800,20,10,0,1,1,4
Between Binghamton and Great Bend PA,122917,800,20,10,0,1,1,4
Kirkwood,122917,800,20,10,0,1,1,4
Kirkwood,122917,800,20,10,0,1,1,4
,10118,2000,50,20,1,3,0,4
Binghamton,10218,750,20,10,0,1,1,4
Binghamton,10218,750,0,10,0,2,1,0
Binghamton,10218,1300,30,10,0,2,1,4
Binghamton,10218,2800,60,20,0,1,1,4
Kirkwood,10218,650,10,10,0,1,1,4
Kirkwood,10218,650,10,10,0,1,1,4
Between Binghamton and Great Bend PA,10218,650,10,10,0,1,1,4
Kirkwood,10218,650,10,10,0,1,1,4
"233 Willow St Johnson City, NY",10318,600,10,10,0,0,1,0
Kirkwood,10318,650,10,10,0,1,1,4
Kirkwood,10318,650,10,10,0,1,1,4
,10318,1302,40,20,1,3,1,4
,10318,1302,40,20,1,3,1,4
Edwards & Main,10318,4500,0,35,1,3,1,4
135 Laurel Ave.,10318,700,10,10,1,3,1,4
265 Main,10318,3400,80,35,1,3,0,4
Kirkwood,10318,650,10,10,0,1,1,4
,10318,1302,40,20,1,3,1,4
Kirkwood,10318,650,10,10,0,1,1,4
Kirkwood,10318,650,10,10,0,1,1,4
Kirkwood,10318,650,10,10,0,1,1,4
,10318,1302,40,20,1,3,1,4
,10318,1302,40,20,1,3,1,4
,10318,1302,40,20,1,3,1,4
,10318,1302,40,20,1,3,1,4
,10318,1302,40,20,1,3,1,0
,10318,1302,40,20,1,3,1,4
,10318,1302,40,20,1,3,1,4
,10318,1302,40,20,1,3,1,4
,10318,1302,40,20,1,3,1,4
Kirkwood,10318,650,10,10,0,1,1,4
,10318,1302,40,20,1,3,1,4
,10318,1302,40,20,1,3,1,4
,10318,1302,40,20,1,3,1,4
Kirkwood,10318,650,10,10,0,1,1,4
Kirkwood,10318,650,10,10,0,1,1,4
Between Binghamton and Great Bend PA,10318,650,10,10,0,1,1,4
Johnson City,10418,1040,20,10,0,0,0,0
Kirkwood,10418,650,10,10,0,1,1,4
Kirkwood,10418,650,10,10,0,1,1,4
Kirkwood,10418,650,10,10,0,1,1,4
Kirkwood,10418,650,10,10,0,1,1,4
Kirkwood,10418,650,10,10,0,1,1,4
Kirkwood,10418,650,10,10,0,1,1,4
Binghamton,10418,1200,40,10,1,0,1,4
Binghamton,10418,2000,80,20,1,2,1,4
Binghamton,10418,600,10,10,1,2,1,0
Binghamton,10418,2850,30,10,1,1,1,0
Binghamton,10418,2850,30,10,1,1,1,0
Binghamton,10418,600,10,10,1,2,1,0
Binghamton,10418,1200,30,10,1,0,1,4
Kirkwood,10418,650,10,10,0,1,1,4
Binghamton,10418,2000,40,20,1,1,1,4
Kirkwood,10418,650,10,10,0,1,1,4
Kirkwood,10418,650,10,10,0,1,1,4
Endicott,10418,715,10,10,0,0,1,4
Owego,10418,800,10,10,0,2,1,4
Endicott,10418,600,10,10,0,4,1,4
Endicott,10418,600,10,10,0,1,1,4
Endicott,10518,900,20,10,0,0,4,4
Binghamton,10518,1200,30,10,1,0,1,4
Binghamton,10518,2000,40,20,1,2,1,4
Kirkwood,10518,650,10,10,0,1,1,4
Kirkwood,10518,650,10,10,0,1,1,4
Kirkwood,10518,650,10,10,0,1,1,4
Kirkwood,10518,650,10,10,0,1,1,4
Kirkwood,10518,650,10,10,0,1,1,4
Windsor Schools,10518,650,10,10,0,1,1,4
Kirkwood,10518,650,10,10,0,1,1,4
Kirkwood,10518,650,10,10,0,1,1,4
Owego,10518,1344,30,20,0,4,10,4
Kirkwood,10518,650,10,10,0,1,1,4
Goethe St,10518,1350,30,10,1,1,1,3
Endicott,10618,900,20,10,0,0,4,4
Johnson City,10718,1300,30,10,0,3,0,2
Endicott,10718,900,20,10,0,0,4,4
Binghamton,10818,1288,30,20,0,1,1,4
38-42 Front Street,10818,1000,20,20,0,1,1,4
,10818,1302,40,20,1,3,1,4
Between Binghamton and Windsor,10818,650,10,10,0,1,1,4
Between Binghamton and Great Bend PA,10818,650,10,10,0,1,1,4
Goethe St,10818,1350,30,10,1,1,1,3
Endicott,10818,900,20,10,0,0,4,4
Binghamton,10818,3200,50,20,1,0,1,4
Binghamton,10818,625,10,10,1,1,1,4
,10818,1302,40,20,1,3,1,4
,10818,1302,40,20,1,3,1,4
,10818,1302,40,20,1,3,1,4
,10818,1302,40,20,1,3,1,4
Between Binghamton and Great Bend PA,10818,650,10,10,0,1,1,4
Windsor Schools,10818,650,10,10,0,1,1,4
Kirkwood,10818,650,10,10,0,1,1,4
Kirkwood,10818,650,10,10,0,1,1,4
Kirkwood,10818,650,10,10,0,1,1,4
,10818,1302,40,20,1,3,1,4
Between Binghamton and Great Bend PA,10818,650,10,10,0,1,1,4
,10818,1302,40,20,1,3,1,4
,10818,1302,40,20,1,3,1,4
Between Binghamton and Windsor,10818,650,10,10,0,1,1,4
West Side Binghamton,10818,1500,30,10,1,3,1,0
Kirkwood,10818,650,10,10,0,1,1,4
Binghamton,10818,10000,20,20,0,1,1,4
Binghamton,10818,10000,20,20,0,1,1,4
Binghamton,10818,1288,30,20,0,0,1,0
Binghamton,10818,802,10,10,0,1,1,4
Endicott,10918,900,20,10,0,0,4,4
"233 Willow St Johnson City, NY",10918,600,10,10,0,0,1,0